ExternalID,Name,Description,Version,level,Parentnode,Is include
Fashion : Bags : Crossbody bag : Sling : Leather,Leather,,OB 2023 version1,Type Detail,Fashion : Bags : Crossbody bag : Sling,TRUE
Fashion : Bags : Crossbody bag : Sling : Polyester,Polyester,,OB 2023 version1,Type Detail,Fashion : Bags : Crossbody bag : Sling,TRUE
Fashion : Bags : Crossbody bag : Sling : Pu,Pu,,OB 2023 version1,Type Detail,Fashion : Bags : Crossbody bag : Sling,TRUE
Fashion : Bags : Crossbody bag : Top handle,Top handle,,OB 2023 version1,OB Type,Fashion : Bags : Crossbody bag,TRUE
Fashion : Bags : Crossbody bag : Top handle : Natural,Natural,,OB 2023 version1,Type Detail,Fashion : Bags : Crossbody bag : Top handle,TRUE
Fashion : Bags : Crossbody bag : Top handle : Polyester,Polyester,,OB 2023 version1,Type Detail,Fashion : Bags : Crossbody bag : Top handle,TRUE
Fashion : Bags : Crossbody bag : Top handle : Pu,Pu,,OB 2023 version1,Type Detail,Fashion : Bags : Crossbody bag : Top handle,TRUE
Fashion : Bags : Crossbody bag : Zip top,Zip top,,OB 2023 version1,OB Type,Fashion : Bags : Crossbody bag,TRUE
Fashion : Bags : Crossbody bag : Zip top : Leather,Leather,,OB 2023 version1,Type Detail,Fashion : Bags : Crossbody bag : Zip top,TRUE
Fashion : Bags : Crossbody bag : Zip top : Nylon,Nylon,,OB 2023 version1,Type Detail,Fashion : Bags : Crossbody bag : Zip top,TRUE
Fashion : Bags : Crossbody bag : Zip top : Polyester,Polyester,,OB 2023 version1,Type Detail,Fashion : Bags : Crossbody bag : Zip top,TRUE
Fashion : Bags : Crossbody bag : Zip top : Pu,Pu,,OB 2023 version1,Type Detail,Fashion : Bags : Crossbody bag : Zip top,TRUE
Fashion : Bags : Fabric shopper bag,Fabric shopper bag,,OB 2023 version1,Sub Product Group,Fashion : Bags,TRUE
Fashion : Bags : Fabric shopper bag : Fabric shopper,Fabric shopper,,OB 2023 version1,OB Type,Fashion : Bags : Fabric shopper bag,TRUE
Fashion : Bags : Fabric shopper bag : Fabric shopper : Canvas,Canvas,,OB 2023 version1,Type Detail,Fashion : Bags : Fabric shopper bag : Fabric shopper,TRUE
Fashion : Bags : Fabric shopper bag : Fabric shopper : Cotton,Cotton,,OB 2023 version1,Type Detail,Fashion : Bags : Fabric shopper bag : Fabric shopper,TRUE
Fashion : Bags : Keyring small accessories,Keyring small accessories,,OB 2023 version1,Sub Product Group,Fashion : Bags,TRUE
Fashion : Bags : Keyring small accessories : Keyring,Keyring,,OB 2023 version1,OB Type,Fashion : Bags : Keyring small accessories,TRUE
Fashion : Bags : Keyring small accessories : Keyring : Cotton,Cotton,,OB 2023 version1,Type Detail,Fashion : Bags : Keyring small accessories : Keyring,TRUE
Fashion : Bags : Keyring small accessories : Keyring : Leather,Leather,,OB 2023 version1,Type Detail,Fashion : Bags : Keyring small accessories : Keyring,TRUE
Fashion : Bags : Keyring small accessories : Keyring : Plastic,Plastic,,OB 2023 version1,Type Detail,Fashion : Bags : Keyring small accessories : Keyring,TRUE
Fashion : Bags : Keyring small accessories : Keyring : Pu,Pu,,OB 2023 version1,Type Detail,Fashion : Bags : Keyring small accessories : Keyring,TRUE
Fashion : Bags : Lanyard small accessories,Lanyard small accessories,,OB 2023 version1,Sub Product Group,Fashion : Bags,TRUE
Fashion : Bags : Lanyard small accessories : Lanyard,Lanyard,,OB 2023 version1,OB Type,Fashion : Bags : Lanyard small accessories,TRUE
Fashion : Bags : Lanyard small accessories : Lanyard : Polyester,Polyester,,OB 2023 version1,Type Detail,Fashion : Bags : Lanyard small accessories : Lanyard,TRUE
Fashion : Bags : Lanyard small accessories : Lanyard : Pu,Pu,,OB 2023 version1,Type Detail,Fashion : Bags : Lanyard small accessories : Lanyard,TRUE
Fashion : Bags : Lifestyle small accessories,Lifestyle small accessories,,OB 2023 version1,Sub Product Group,Fashion : Bags,TRUE
Fashion : Bags : Lifestyle small accessories : Glasses case,Glasses case,,OB 2023 version1,OB Type,Fashion : Bags : Lifestyle small accessories,TRUE
Fashion : Bags : Lifestyle small accessories : Glasses case : Cotton,Cotton,,OB 2023 version1,Type Detail,Fashion : Bags : Lifestyle small accessories : Glasses case,TRUE
Fashion : Bags : Lifestyle small accessories : Glasses case : Polyester,Polyester,,OB 2023 version1,Type Detail,Fashion : Bags : Lifestyle small accessories : Glasses case,TRUE
Fashion : Bags : Lifestyle small accessories : Glasses case : Polypropylene,Polypropylene,,OB 2023 version1,Type Detail,Fashion : Bags : Lifestyle small accessories : Glasses case,TRUE
Fashion : Bags : Lifestyle small accessories : Glasses case : Pu,Pu,,OB 2023 version1,Type Detail,Fashion : Bags : Lifestyle small accessories : Glasses case,TRUE
Fashion : Bags : Lifestyle small accessories : Travel,Travel,,OB 2023 version1,OB Type,Fashion : Bags : Lifestyle small accessories,TRUE
Fashion : Bags : Lifestyle small accessories : Travel : Cotton,Cotton,,OB 2023 version1,Type Detail,Fashion : Bags : Lifestyle small accessories : Travel,TRUE
Fashion : Bags : Lifestyle small accessories : Travel : Leather,Leather,,OB 2023 version1,Type Detail,Fashion : Bags : Lifestyle small accessories : Travel,TRUE
Fashion : Bags : Lifestyle small accessories : Travel : Natural,Natural,,OB 2023 version1,Type Detail,Fashion : Bags : Lifestyle small accessories : Travel,TRUE
Fashion : Bags : Lifestyle small accessories : Travel : Polyester,Polyester,,OB 2023 version1,Type Detail,Fashion : Bags : Lifestyle small accessories : Travel,TRUE
Fashion : Bags : Lifestyle small accessories : Travel : Pu,Pu,,OB 2023 version1,Type Detail,Fashion : Bags : Lifestyle small accessories : Travel,TRUE
Fashion : Bags : Pouch small accessories,Pouch small accessories,,OB 2023 version1,Sub Product Group,Fashion : Bags,TRUE
Fashion : Bags : Pouch small accessories : Pouch,Pouch,,OB 2023 version1,OB Type,Fashion : Bags : Pouch small accessories,TRUE
Fashion : Bags : Pouch small accessories : Pouch : Cotton,Cotton,,OB 2023 version1,Type Detail,Fashion : Bags : Pouch small accessories : Pouch,TRUE
Fashion : Bags : Pouch small accessories : Pouch : Leather,Leather,,OB 2023 version1,Type Detail,Fashion : Bags : Pouch small accessories : Pouch,TRUE
Fashion : Bags : Pouch small accessories : Pouch : Natural,Natural,,OB 2023 version1,Type Detail,Fashion : Bags : Pouch small accessories : Pouch,TRUE
Fashion : Bags : Pouch small accessories : Pouch : Plastic,Plastic,,OB 2023 version1,Type Detail,Fashion : Bags : Pouch small accessories : Pouch,TRUE
Fashion : Bags : Pouch small accessories : Pouch : Polyester,Polyester,,OB 2023 version1,Type Detail,Fashion : Bags : Pouch small accessories : Pouch,TRUE
Fashion : Bags : Pouch small accessories : Pouch : Polyurethane,Polyurethane,,OB 2023 version1,Type Detail,Fashion : Bags : Pouch small accessories : Pouch,TRUE
Fashion : Bags : Pouch small accessories : Pouch : Pu,Pu,,OB 2023 version1,Type Detail,Fashion : Bags : Pouch small accessories : Pouch,TRUE
